Lv.,Move,Type,Cat.,Power,Acc.
1.0,Feint,Normal,,30,100
1.0,Future Sight,Psychic,,120,100
1.0,Leer,Normal,,—,100
1.0,Perish Song,Normal,,—,—
1.0,Quick Attack,Normal,,40,100
1.0,Scratch,Normal,,40,100
4.0,Leer,Normal,,—,100
7.0,Quick Attack,Normal,,40,100
10.0,Pursuit,Dark,,40,100
13.0,Taunt,Dark,,—,100
16.0,Bite,Dark,,60,100
19.0,Double Team,Normal,,—,—
22.0,Slash,Normal,,70,100
25.0,Swords Dance,Normal,,—,—
29.0,Night Slash,Dark,,70,100
33.0,Detect,Fighting,,—,—
37.0,Psycho Cut,Psychic,,70,100
41.0,Me First,Normal,,—,—
45.0,Sucker Punch,Dark,,70,100
49.0,Razor Wind,Normal,,80,100
53.0,Future Sight,Psychic,,120,100
57.0,Perish Song,Normal,,—,—
