Lv.,Move,Type,Cat.,Power,Acc.
1.0,Harden,Normal,,—,—
1.0,Headbutt,Normal,,70,100
1.0,Mud-Slap,Ground,,20,100
1.0,Tackle,Normal,,40,100
4.0,Mud-Slap,Ground,,20,100
7.0,Headbutt,Normal,,70,100
10.0,Metal Claw,Steel,,50,95
13.0,Rock Tomb,Rock,,60,95
16.0,Protect,Normal,,—,—
19.0,Roar,Normal,,—,—
22.0,Iron Head,Steel,,80,100
25.0,Rock Slide,Rock,,75,90
28.0,Take Down,Normal,,90,85
31.0,Metal Sound,Steel,,—,85
35.0,Iron Tail,Steel,,100,75
39.0,Iron Defense,Steel,,—,—
45.0,Double-Edge,Normal,,120,100
51.0,Autotomize,Steel,,—,—
57.0,Heavy Slam,Steel,,—,100
63.0,Metal Burst,Steel,,—,100
