Lv.,Move,Type,Cat.,Power,Acc.
1.0,Healing Wish,Psychic,,—,—
1.0,Helping Hand,Normal,,—,—
1.0,Hydro Pump,Water,,110,80
1.0,Play Nice,Normal,,—,—
1.0,Pound,Normal,,40,100
1.0,Water Sport,Water,,—,—
1.0,Wide Guard,Rock,,—,—
5.0,Aqua Ring,Water,,—,—
9.0,Aqua Jet,Water,,40,100
13.0,Double Slap,Normal,,15,85
17.0,Heal Pulse,Psychic,,—,—
21.0,Protect,Normal,,—,—
25.0,Water Pulse,Water,,60,100
29.0,Wake-Up Slap,Fighting,,70,100
33.0,Soak,Water,,—,100
37.0,Wish,Normal,,—,—
41.0,Brine,Water,,65,100
45.0,Safeguard,Normal,,—,—
49.0,Whirlpool,Water,,35,85
53.0,Helping Hand,Normal,,—,—
57.0,Healing Wish,Psychic,,—,—
61.0,Wide Guard,Rock,,—,—
65.0,Hydro Pump,Water,,110,80
