Lv.,Move,Type,Cat.,Power,Acc.
1.0,Astonish,Ghost,,30,100
1.0,Dragon Breath,Dragon,,60,100
1.0,Growl,Normal,,—,100
1.0,Peck,Flying,,35,100
1.0,Pluck,Flying,,60,100
1.0,Sing,Normal,,—,55
1.0,Sky Attack,Flying,,140,90
3.0,Astonish,Ghost,,30,100
5.0,Sing,Normal,,—,55
7.0,Fury Attack,Normal,,15,85
9.0,Safeguard,Normal,,—,—
11.0,Disarming Voice,Fairy,,40,∞
14.0,Mist,Ice,,—,—
17.0,Round,Normal,,60,100
20.0,Natural Gift,Normal,,—,100
23.0,Take Down,Normal,,90,85
26.0,Refresh,Normal,,—,—
30.0,Dragon Dance,Dragon,,—,—
34.0,Cotton Guard,Grass,,—,—
40.0,Dragon Pulse,Dragon,,85,100
46.0,Perish Song,Normal,,—,—
52.0,Moonblast,Fairy,,95,100
59.0,Sky Attack,Flying,,140,90
