Lv.,Move,Type,Cat.,Power,Acc.
1.0,Agility,Psychic,,—,—
1.0,Bite,Dark,,60,100
1.0,Burn Up,Fire,,130,100
1.0,Crunch,Dark,,80,100
1.0,Ember,Fire,,40,100
1.0,Extreme Speed,Normal,,80,100
1.0,Fire Fang,Fire,,65,95
1.0,Flame Wheel,Fire,,60,100
1.0,Flamethrower,Fire,,90,100
1.0,Flare Blitz,Fire,,120,100
1.0,Helping Hand,Normal,,—,—
1.0,Howl,Normal,,—,—
1.0,Leer,Normal,,—,100
1.0,Play Rough,Fairy,,90,90
1.0,Retaliate,Normal,,70,100
1.0,Reversal,Fighting,,—,100
1.0,Roar,Normal,,—,—
1.0,Take Down,Normal,,90,85
