Lv.,Move,Type,Cat.,Power,Acc.
1.0,Leer,Normal,,—,100
1.0,Quick Attack,Normal,,40,100
1.0,Rock Throw,Rock,,50,90
1.0,Wing Attack,Flying,,60,100
5.0,Rock Throw,Rock,,50,90
8.0,Double Team,Normal,,—,—
11.0,Scary Face,Normal,,—,100
15.0,Pluck,Flying,,60,100
18.0,Ancient Power,Rock,,60,100
21.0,Agility,Psychic,,—,—
25.0,Quick Guard,Fighting,,—,—
28.0,Acrobatics,Flying,,55,100
31.0,Dragon Breath,Dragon,,60,100
35.0,Crunch,Dark,,80,100
40.0,Endeavor,Normal,,—,100
45.0,U-turn,Bug,,70,100
51.0,Rock Slide,Rock,,75,90
56.0,Dragon Claw,Dragon,,80,100
61.0,Thrash,Normal,,120,100
