Lv.,Move,Type,Cat.,Power,Acc.
1.0,Absorb,Grass,,20,100
1.0,Bug Bite,Bug,,60,100
1.0,Constrict,Normal,,10,100
1.0,Fell Stinger,Bug,,50,100
1.0,Focus Energy,Normal,,—,—
1.0,Poison Sting,Poison,,15,100
1.0,String Shot,Bug,,—,95
1.0,Swords Dance,Normal,,—,—
1.0,Venom Drench,Poison,,—,100
5.0,Absorb,Grass,,20,100
8.0,Infestation,Bug,,20,100
12.0,Scary Face,Normal,,—,100
15.0,Night Shade,Ghost,,—,100
19.0,Shadow Sneak,Ghost,,40,100
23.0,Fury Swipes,Normal,,18,80
28.0,Sucker Punch,Dark,,70,100
32.0,Spider Web,Bug,,—,—
37.0,Agility,Psychic,,—,—
41.0,Pin Missile,Bug,,25,95
46.0,Psychic,Psychic,,90,100
50.0,Poison Jab,Poison,,80,100
55.0,Cross Poison,Poison,,70,100
58.0,Sticky Web,Bug,,—,—
63.0,Toxic Thread,Poison,,—,100
