Lv.,Move,Type,Cat.,Power,Acc.
1.0,Growl,Normal,,—,100
1.0,Helping Hand,Normal,,—,—
1.0,Hyper Voice,Normal,,90,100
1.0,Last Resort,Normal,,140,100
1.0,Misty Terrain,Fairy,,—,—
1.0,Play Nice,Normal,,—,—
1.0,Pound,Normal,,40,100
5.0,Baby-Doll Eyes,Fairy,,—,100
9.0,Refresh,Normal,,—,—
13.0,Disarming Voice,Fairy,,40,∞
17.0,Double Slap,Normal,,15,85
21.0,Attract,Normal,,—,100
25.0,Secret Power,Normal,,70,100
29.0,Entrainment,Normal,,—,100
33.0,Take Down,Normal,,90,85
37.0,Heal Pulse,Psychic,,—,—
41.0,After You,Normal,,—,—
45.0,Simple Beam,Normal,,—,100
49.0,Double-Edge,Normal,,120,100
53.0,Hyper Voice,Normal,,90,100
57.0,Last Resort,Normal,,140,100
