Lv.,Move,Type,Cat.,Power,Acc.
1.0,Leer,Normal,,—,100
1.0,Scratch,Normal,,40,100
3.0,Bite,Dark,,60,100
6.0,False Swipe,Normal,,40,100
9.0,Assurance,Dark,,60,100
12.0,Taunt,Dark,,—,100
15.0,Slash,Normal,,70,100
18.0,Dragon Claw,Dragon,,80,100
21.0,Scary Face,Normal,,—,100
24.0,Crunch,Dark,,80,100
27.0,Dragon Dance,Dragon,,—,—
30.0,Dual Chop,Dragon,,40,90
33.0,Laser Focus,Normal,,—,—
36.0,Dragon Pulse,Dragon,,85,100
39.0,Swords Dance,Normal,,—,—
42.0,Outrage,Dragon,,120,100
45.0,Guillotine,Normal,,—,30
48.0,Giga Impact,Normal,,150,90
