Lv.,Move,Type,Cat.,Power,Acc.
1.0,Defense Curl,Normal,,—,—
1.0,Helping Hand,Normal,,—,—
1.0,Rollout,Rock,,30,90
1.0,Tackle,Normal,,40,100
1.0,Tail Whip,Normal,,—,100
1.0,Water Gun,Water,,40,100
6.0,Bubble Beam,Water,,65,100
9.0,Charm,Fairy,,—,100
12.0,Slam,Normal,,80,75
15.0,Bounce,Flying,,85,85
21.0,Aqua Tail,Water,,90,90
25.0,Play Rough,Fairy,,90,90
30.0,Aqua Ring,Water,,—,—
35.0,Rain Dance,Water,,—,—
40.0,Hydro Pump,Water,,110,80
45.0,Double-Edge,Normal,,120,100
50.0,Superpower,Fighting,,120,100
