Lv.,Move,Type,Cat.,Power,Acc.
1.0,Harden,Normal,,—,—
1.0,Mud-Slap,Ground,,20,100
3.0,Rapid Spin,Normal,,50,100
6.0,Confusion,Psychic,,50,100
9.0,Rock Tomb,Rock,,60,95
12.0,Power Trick,Psychic,,—,—
15.0,Psybeam,Psychic,,65,100
18.0,Ancient Power,Rock,,60,100
21.0,Imprison,Psychic,,—,—
24.0,Cosmic Power,Psychic,,—,—
27.0,Extrasensory,Psychic,,80,100
30.0,Earth Power,Ground,,90,100
33.0,Self-Destruct,Normal,,200,100
36.0,Guard Split,Psychic,,—,—
36.0,Power Split,Psychic,,—,—
39.0,Sandstorm,Rock,,—,—
42.0,Explosion,Normal,,250,100
