Lv.,Move,Type,Cat.,Power,Acc.
1.0,Knock Off,Dark,,65,100
1.0,Night Shade,Ghost,,—,100
1.0,Phantom Force,Ghost,,90,100
1.0,Screech,Normal,,—,85
1.0,Spite,Ghost,,—,100
4.0,Screech,Normal,,—,85
7.0,Night Shade,Ghost,,—,100
10.0,Spite,Ghost,,—,100
13.0,Shadow Sneak,Ghost,,40,100
16.0,Will-O-Wisp,Fire,,—,85
19.0,Feint Attack,Dark,,60,∞
22.0,Hex,Ghost,,65,100
26.0,Curse,Ghost,,—,—
30.0,Shadow Ball,Ghost,,80,100
34.0,Embargo,Dark,,—,100
40.0,Sucker Punch,Dark,,70,100
46.0,Snatch,Dark,,—,—
52.0,Grudge,Ghost,,—,—
58.0,Trick,Psychic,,—,100
64.0,Phantom Force,Ghost,,90,100
