Lv.,Move,Type,Cat.,Power,Acc.
1.0,Tail Whip,Normal,,—,100.0
1.0,Water Gun,Water,,40,100.0
4.0,Tackle,Normal,,40,100.0
8.0,Flail,Normal,,—,100.0
12.0,Aqua Jet,Water,,40,100.0
16.0,Bite,Dark,,60,100.0
20.0,Scary Face,Normal,,—,100.0
24.0,Headbutt,Normal,,70,100.0
28.0,Soak,Water,,—,100.0
32.0,Crunch,Dark,,80,100.0
36.0,Take Down,Normal,,90,85.0
40.0,Final Gambit,Fighting,,—,100.0
44.0,Aqua Tail,Water,,90,90.0
48.0,Thrash,Normal,,120,100.0
52.0,Double-Edge,Normal,,120,100.0
56.0,Head Smash,Rock,,150,80.0
