Lv.,Move,Type,Cat.,Power,Acc.
1.0,Aqua Jet,Water,,40,100
1.0,Charm,Fairy,,—,100
1.0,Endure,Normal,,—,—
1.0,Fury Swipes,Normal,,18,80
1.0,Growl,Normal,,—,100
1.0,Icicle Crash,Ice,,85,90
1.0,Powder Snow,Ice,,40,100
9.0,Icy Wind,Ice,,55,95
12.0,Play Nice,Normal,,—,—
15.0,Brine,Water,,65,100
18.0,Frost Breath,Ice,,60,90
21.0,Slash,Normal,,70,100
24.0,Flail,Normal,,—,100
27.0,Swagger,Normal,,—,85
30.0,Hail,Ice,,—,—
33.0,Thrash,Normal,,120,100
36.0,Rest,Psychic,,—,—
41.0,Blizzard,Ice,,110,70
46.0,Sheer Cold,Ice,,—,30
51.0,Superpower,Fighting,,120,100
