Lv.,Move,Type,Cat.,Power,Acc.
1.0,Block,Normal,,—,—
1.0,Confuse Ray,Ghost,,—,100
1.0,Confusion,Psychic,,50,100
1.0,Payback,Dark,,50,100
1.0,Sunny Day,Fire,,—,—
1.0,Tackle,Normal,,40,100
1.0,Weather Ball,Normal,,50,100
12.0,Imprison,Psychic,,—,—
16.0,Gyro Ball,Steel,,—,100
20.0,Hypnosis,Psychic,,—,60
24.0,Safeguard,Normal,,—,—
28.0,Extrasensory,Psychic,,80,100
32.0,Heavy Slam,Steel,,—,100
38.0,Iron Defense,Steel,,—,—
44.0,Metal Sound,Steel,,—,85
50.0,Future Sight,Psychic,,120,100
56.0,Rain Dance,Water,,—,—
