Lv.,Move,Type,Cat.,Power,Acc.
1.0,Ember,Fire,,40,100
1.0,Eruption,Fire,,150,100
1.0,Fissure,Ground,,—,30
1.0,Focus Energy,Normal,,—,—
1.0,Growl,Normal,,—,100
1.0,Rock Slide,Rock,,75,90
1.0,Tackle,Normal,,40,100
8.0,Ember,Fire,,40,100
8.0,Focus Energy,Normal,,—,—
12.0,Magnitude,Ground,,—,100
15.0,Flame Burst,Fire,,70,100
19.0,Amnesia,Psychic,,—,—
22.0,Lava Plume,Fire,,80,100
26.0,Earth Power,Ground,,90,100
29.0,Curse,Ghost,,—,—
31.0,Take Down,Normal,,90,85
39.0,Yawn,Normal,,—,—
46.0,Earthquake,Ground,,100,100
52.0,Eruption,Fire,,150,100
59.0,Fissure,Ground,,—,30
