Lv.,Move,Type,Cat.,Power,Acc.
1.0,Bide,Normal,,—,—
1.0,Rollout,Rock,,30,90
1.0,Water Gun,Water,,40,100
1.0,Withdraw,Water,,—,—
5.0,Rollout,Rock,,30,90
8.0,Bite,Dark,,60,100
11.0,Protect,Normal,,—,—
15.0,Aqua Jet,Water,,40,100
18.0,Ancient Power,Rock,,60,100
21.0,Crunch,Dark,,80,100
25.0,Wide Guard,Rock,,—,—
28.0,Brine,Water,,65,100
31.0,Smack Down,Rock,,50,100
35.0,Curse,Ghost,,—,—
40.0,Shell Smash,Normal,,—,—
45.0,Aqua Tail,Water,,90,90
51.0,Rock Slide,Rock,,75,90
56.0,Rain Dance,Water,,—,—
61.0,Hydro Pump,Water,,110,80
