Lv.,Move,Type,Cat.,Power,Acc.
1.0,Charm,Fairy,,—,100
1.0,Copycat,Normal,,—,—
1.0,Covet,Normal,,60,100
1.0,Defense Curl,Normal,,—,—
1.0,Disarming Voice,Fairy,,40,∞
1.0,Minimize,Normal,,—,—
1.0,Pound,Normal,,40,100
1.0,Sweet Kiss,Fairy,,—,75
4.0,Tail Whip,Normal,,—,100
8.0,Echoed Voice,Normal,,40,100
12.0,Life Dew,Water,,—,—
16.0,Sing,Normal,,—,55
20.0,Fling,Dark,,—,100
24.0,Take Down,Normal,,90,85
28.0,Heal Pulse,Psychic,,—,—
32.0,Helping Hand,Normal,,—,—
36.0,Light Screen,Psychic,,—,—
40.0,Double-Edge,Normal,,120,100
44.0,Soft-Boiled,Normal,,—,—
48.0,Last Resort,Normal,,140,100
52.0,Healing Wish,Psychic,,—,—
