Lv.,Move,Type,Cat.,Power,Acc.
1.0,Chatter,Flying,,65,100
1.0,Confide,Normal,,—,—
1.0,Hyper Voice,Normal,,90,100
1.0,Peck,Flying,,35,100
1.0,Taunt,Dark,,—,100
5.0,Growl,Normal,,—,100
9.0,Mirror Move,Flying,,—,—
13.0,Sing,Normal,,—,55
17.0,Fury Attack,Normal,,15,85
21.0,Chatter,Flying,,65,100
25.0,Taunt,Dark,,—,100
29.0,Round,Normal,,60,100
33.0,Mimic,Normal,,—,—
37.0,Echoed Voice,Normal,,40,100
41.0,Roost,Flying,,—,—
45.0,Uproar,Normal,,90,100
49.0,Synchronoise,Psychic,,120,100
50.0,Feather Dance,Flying,,—,100
57.0,Hyper Voice,Normal,,90,100
