Lv.,Move,Type,Cat.,Power,Acc.
1.0,Astonish,Ghost,,30,100
1.0,Confusion,Psychic,,50,100
1.0,Growl,Normal,,—,100
1.0,Healing Wish,Psychic,,—,—
1.0,Synchronoise,Psychic,,120,100
1.0,Wrap,Normal,,15,90
4.0,Growl,Normal,,—,100
7.0,Astonish,Ghost,,30,100
10.0,Confusion,Psychic,,50,100
13.0,Yawn,Normal,,—,—
16.0,Psywave,Psychic,,—,100
19.0,Take Down,Normal,,90,85
22.0,Extrasensory,Psychic,,80,100
27.0,Heal Bell,Normal,,—,—
32.0,Uproar,Normal,,90,100
37.0,Safeguard,Normal,,—,—
42.0,Double-Edge,Normal,,120,100
47.0,Heal Pulse,Psychic,,—,—
52.0,Synchronoise,Psychic,,120,100
57.0,Healing Wish,Psychic,,—,—
