Lv.,Move,Type,Cat.,Power,Acc.
1.0,After You,Normal,,—,—
1.0,Charm,Fairy,,—,100
1.0,Copycat,Normal,,—,—
1.0,Cosmic Power,Psychic,,—,—
1.0,Defense Curl,Normal,,—,—
1.0,Disarming Voice,Fairy,,40,∞
1.0,Encore,Normal,,—,100
1.0,Follow Me,Normal,,—,—
1.0,Gravity,Psychic,,—,—
1.0,Growl,Normal,,—,100
1.0,Healing Wish,Psychic,,—,—
1.0,Life Dew,Water,,—,—
1.0,Meteor Mash,Steel,,90,90
1.0,Metronome,Normal,,—,—
1.0,Minimize,Normal,,—,—
1.0,Moonblast,Fairy,,95,100
1.0,Moonlight,Fairy,,—,—
1.0,Pound,Normal,,40,100
1.0,Sing,Normal,,—,55
1.0,Splash,Normal,,—,—
1.0,Stored Power,Psychic,,20,100
1.0,Sweet Kiss,Fairy,,—,75
