Lv.,Move,Type,Cat.,Power,Acc.
1.0,Charm,Fairy,,—,100
1.0,Copycat,Normal,,—,—
1.0,Defense Curl,Normal,,—,—
1.0,Disarming Voice,Fairy,,40,∞
1.0,Encore,Normal,,—,100
1.0,Growl,Normal,,—,100
1.0,Pound,Normal,,40,100
1.0,Sing,Normal,,—,55
1.0,Splash,Normal,,—,—
1.0,Sweet Kiss,Fairy,,—,75
4.0,Stored Power,Psychic,,20,100
8.0,Minimize,Normal,,—,—
12.0,After You,Normal,,—,—
16.0,Life Dew,Water,,—,—
20.0,Metronome,Normal,,—,—
24.0,Moonlight,Fairy,,—,—
28.0,Gravity,Psychic,,—,—
32.0,Meteor Mash,Steel,,90,90
36.0,Follow Me,Normal,,—,—
40.0,Cosmic Power,Psychic,,—,—
44.0,Moonblast,Fairy,,95,100
48.0,Healing Wish,Psychic,,—,—
