Lv.,Move,Type,Cat.,Power,Acc.
1.0,Aurora Beam,Ice,,65,100
1.0,Hydro Pump,Water,,110,80
1.0,Ice Beam,Ice,,90,100
1.0,Ice Shard,Ice,,40,100
1.0,Icicle Crash,Ice,,85,90
1.0,Icicle Spear,Ice,,25,100
1.0,Iron Defense,Steel,,—,—
1.0,Leer,Normal,,—,100
1.0,Protect,Normal,,—,—
1.0,Razor Shell,Water,,75,95
1.0,Shell Smash,Normal,,—,—
1.0,Spikes,Ground,,—,—
1.0,Supersonic,Normal,,—,55
1.0,Tackle,Normal,,40,100
1.0,Toxic Spikes,Poison,,—,—
1.0,Water Gun,Water,,40,100
1.0,Whirlpool,Water,,35,85
1.0,Withdraw,Water,,—,—
