Lv.,Move,Type,Cat.,Power,Acc.
1.0,Astonish,Ghost,,30,100
1.0,Haze,Ice,,—,—
1.0,Night Shade,Ghost,,—,100
1.0,Protect,Normal,,—,—
1.0,Scary Face,Normal,,—,100
1.0,Shadow Claw,Ghost,,70,100
12.0,Disable,Normal,,—,100
16.0,Will-O-Wisp,Fire,,—,85
20.0,Crafty Shield,Fairy,,—,—
24.0,Hex,Ghost,,65,100
28.0,Mean Look,Normal,,—,—
32.0,Grudge,Ghost,,—,—
38.0,Curse,Ghost,,—,—
44.0,Shadow Ball,Ghost,,80,100
50.0,Dark Pulse,Dark,,80,100
56.0,Guard Split,Psychic,,—,—
56.0,Power Split,Psychic,,—,—
62.0,Destiny Bond,Ghost,,—,—
