Lv.,Move,Type,Cat.,Power,Acc.
1.0,Absorb,Grass,,20,100
1.0,Helping Hand,Normal,,—,—
3.0,Fairy Wind,Fairy,,40,100
6.0,Stun Spore,Grass,,—,75
12.0,Mega Drain,Grass,,40,100
15.0,Razor Leaf,Grass,,55,95
18.0,Growth,Normal,,—,—
21.0,Poison Powder,Poison,,—,75
24.0,Giga Drain,Grass,,75,100
27.0,Charm,Fairy,,—,100
30.0,Leech Seed,Grass,,—,90
33.0,Cotton Spore,Grass,,—,100
36.0,Energy Ball,Grass,,90,100
39.0,Sunny Day,Fire,,—,—
42.0,Endeavor,Normal,,—,100
45.0,Cotton Guard,Grass,,—,—
48.0,Solar Beam,Grass,,120,100
