Lv.,Move,Type,Cat.,Power,Acc.
1.0,Confusion,Psychic,,50,100
1.0,Double Team,Normal,,—,—
1.0,Lunar Dance,Psychic,,—,—
1.0,Moonlight,Fairy,,—,—
1.0,Psycho Cut,Psychic,,70,100
1.0,Psycho Shift,Psychic,,—,100
11.0,Safeguard,Normal,,—,—
20.0,Mist,Ice,,—,—
29.0,Aurora Beam,Ice,,65,100
38.0,Future Sight,Psychic,,120,100
47.0,Slash,Normal,,70,100
57.0,Moonlight,Fairy,,—,—
66.0,Psycho Cut,Psychic,,70,100
75.0,Psycho Shift,Psychic,,—,100
84.0,Lunar Dance,Psychic,,—,—
93.0,Psychic,Psychic,,90,100
99.0,Moonblast,Fairy,,95,100
