Lv.,Move,Type,Cat.,Power,Acc.
1.0,Absorb,Grass,,20,100
1.0,Astonish,Ghost,,30,100
1.0,Bite,Dark,,60,100
1.0,Cross Poison,Poison,,70,100
1.0,Screech,Normal,,—,85
1.0,Supersonic,Normal,,—,55
5.0,Supersonic,Normal,,—,55
7.0,Astonish,Ghost,,30,100
11.0,Bite,Dark,,60,100
13.0,Wing Attack,Flying,,60,100
17.0,Confuse Ray,Ghost,,—,100
19.0,Air Cutter,Flying,,60,95
24.0,Swift,Normal,,60,∞
27.0,Poison Fang,Poison,,50,100
32.0,Mean Look,Normal,,—,—
35.0,Leech Life,Bug,,80,100
40.0,Haze,Ice,,—,—
43.0,Venoshock,Poison,,65,100
48.0,Air Slash,Flying,,75,95
51.0,Quick Guard,Fighting,,—,—
