Lv.,Move,Type,Cat.,Power,Acc.
1.0,Leer,Normal,,—,100.0
1.0,Scratch,Normal,,40,100.0
1.0,Water Gun,Water,,40,100.0
6.0,Water Gun,Water,,40,100.0
8.0,Rage,Normal,,20,100.0
13.0,Bite,Dark,,60,100.0
15.0,Scary Face,Normal,,—,100.0
21.0,Ice Fang,Ice,,65,95.0
24.0,Flail,Normal,,—,100.0
30.0,Crunch,Dark,,80,100.0
33.0,Chip Away,Normal,,70,100.0
39.0,Slash,Normal,,70,100.0
42.0,Screech,Normal,,—,85.0
48.0,Thrash,Normal,,120,100.0
51.0,Aqua Tail,Water,,90,90.0
57.0,Superpower,Fighting,,120,100.0
60.0,Hydro Pump,Water,,110,80.0
