Lv.,Move,Type,Cat.,Power,Acc.
1.0,Fell Stinger,Bug,,50,100
1.0,Fire Fang,Fire,,65,95
1.0,Hone Claws,Dark,,—,—
1.0,Ice Fang,Ice,,65,95
1.0,Leer,Normal,,—,100
1.0,Poison Sting,Poison,,15,100
1.0,Thunder Fang,Electric,,65,95
9.0,Poison Fang,Poison,,50,100
12.0,Bite,Dark,,60,100
15.0,Toxic Spikes,Poison,,—,—
18.0,Bug Bite,Bug,,60,100
21.0,Venoshock,Poison,,65,100
24.0,Knock Off,Dark,,65,100
27.0,Scary Face,Normal,,—,100
30.0,Pin Missile,Bug,,25,95
33.0,Toxic,Poison,,—,90
36.0,Night Slash,Dark,,70,100
39.0,Cross Poison,Poison,,70,100
44.0,X-Scissor,Bug,,80,100
49.0,Acupressure,Normal,,—,—
54.0,Crunch,Dark,,80,100
