Lv.,Move,Type,Cat.,Power,Acc.
1.0,Astonish,Ghost,,30,100
1.0,Focus Energy,Normal,,—,—
1.0,Gust,Flying,,40,100
1.0,Minimize,Normal,,—,—
1.0,Phantom Force,Ghost,,90,100
1.0,Strength Sap,Grass,,—,100
12.0,Payback,Dark,,50,100
16.0,Hex,Ghost,,65,100
20.0,Shadow Ball,Ghost,,80,100
24.0,Spit Up,Normal,,—,100
24.0,Stockpile,Normal,,—,—
24.0,Swallow,Normal,,—,—
31.0,Self-Destruct,Normal,,200,100
36.0,Destiny Bond,Ghost,,—,—
42.0,Baton Pass,Normal,,—,—
48.0,Tailwind,Flying,,—,—
54.0,Explosion,Normal,,250,100
