Lv.,Move,Type,Cat.,Power,Acc.
1.0,Astonish,Ghost,,30,100
1.0,Bind,Normal,,15,85
1.0,Disable,Normal,,—,100
1.0,Fire Punch,Fire,,75,100
1.0,Gravity,Psychic,,—,—
1.0,Ice Punch,Ice,,75,100
1.0,Leer,Normal,,—,100
1.0,Shadow Punch,Ghost,,60,∞
1.0,Shadow Sneak,Ghost,,40,100
1.0,Thunder Punch,Electric,,75,100
12.0,Confuse Ray,Ghost,,—,100
16.0,Night Shade,Ghost,,—,100
20.0,Payback,Dark,,50,100
24.0,Will-O-Wisp,Fire,,—,85
28.0,Mean Look,Normal,,—,—
32.0,Hex,Ghost,,65,100
36.0,Curse,Ghost,,—,—
42.0,Shadow Ball,Ghost,,80,100
48.0,Future Sight,Psychic,,120,100
54.0,Destiny Bond,Ghost,,—,—
