Lv.,Move,Type,Cat.,Power,Acc.
1.0,Electric Terrain,Electric,,—,—
1.0,Fire Punch,Fire,,75,100
1.0,Ion Deluge,Electric,,—,—
1.0,Leer,Normal,,—,100
1.0,Low Kick,Fighting,,—,100
1.0,Quick Attack,Normal,,40,100
1.0,Thunder Shock,Electric,,40,100
5.0,Thunder Shock,Electric,,40,100
8.0,Low Kick,Fighting,,—,100
12.0,Swift,Normal,,60,∞
15.0,Shock Wave,Electric,,60,∞
19.0,Thunder Wave,Electric,,—,90
22.0,Electro Ball,Electric,,—,100
26.0,Light Screen,Psychic,,—,—
29.0,Thunder Punch,Electric,,75,100
36.0,Discharge,Electric,,80,100
42.0,Screech,Normal,,—,85
49.0,Thunderbolt,Electric,,90,100
55.0,Thunder,Electric,,110,70
62.0,Giga Impact,Normal,,150,90
65.0,Electric Terrain,Electric,,—,—
