Lv.,Move,Type,Cat.,Power,Acc.
1.0,Bite,Dark,,60,100
1.0,Eruption,Fire,,150,100
1.0,Extrasensory,Psychic,,80,100
1.0,Lava Plume,Fire,,80,100
1.0,Leer,Normal,,—,100
1.0,Sacred Fire,Fire,,100,95
8.0,Ember,Fire,,40,100
15.0,Roar,Normal,,—,—
22.0,Fire Spin,Fire,,35,85
29.0,Stomp,Normal,,65,100
36.0,Flamethrower,Fire,,90,100
43.0,Swagger,Normal,,—,85
50.0,Fire Fang,Fire,,65,95
57.0,Lava Plume,Fire,,80,100
64.0,Extrasensory,Psychic,,80,100
71.0,Fire Blast,Fire,,110,85
78.0,Calm Mind,Psychic,,—,—
85.0,Eruption,Fire,,150,100
