Lv.,Move,Type,Cat.,Power,Acc.
1.0,Double-Edge,Normal,,120,100
1.0,Endure,Normal,,—,—
1.0,Fell Stinger,Bug,,50,100
1.0,Flail,Normal,,—,100
1.0,Fury Cutter,Bug,,40,95
1.0,Leer,Normal,,—,100
1.0,Peck,Flying,,35,100
1.0,Quick Guard,Fighting,,—,—
1.0,Scary Face,Normal,,—,100
1.0,Take Down,Normal,,90,85
12.0,False Swipe,Normal,,40,100
16.0,Acid Spray,Poison,,40,100
20.0,Headbutt,Normal,,70,100
24.0,Reversal,Fighting,,—,100
28.0,Iron Defense,Steel,,—,—
32.0,X-Scissor,Bug,,80,100
36.0,Swords Dance,Normal,,—,—
40.0,Iron Head,Steel,,80,100
44.0,Bug Buzz,Bug,,90,100
48.0,Giga Impact,Normal,,150,90
52.0,Metal Burst,Steel,,—,100
