Lv.,Move,Type,Cat.,Power,Acc.
1.0,Absorb,Grass,,20,100
1.0,Bullet Seed,Grass,,25,100
1.0,Confusion,Psychic,,50,100
1.0,Extrasensory,Psychic,,80,100
1.0,Giga Drain,Grass,,75,100
1.0,Hypnosis,Psychic,,—,60
1.0,Leaf Storm,Grass,,130,90
1.0,Leech Seed,Grass,,—,90
1.0,Mega Drain,Grass,,40,100
1.0,Psyshock,Psychic,,80,100
1.0,Reflect,Psychic,,—,—
1.0,Seed Bomb,Grass,,80,100
1.0,Solar Beam,Grass,,120,100
1.0,Stomp,Normal,,65,100
1.0,Synthesis,Grass,,—,—
1.0,Uproar,Normal,,90,100
1.0,Wood Hammer,Grass,,120,100
1.0,Worry Seed,Grass,,—,100
