Lv.,Move,Type,Cat.,Power,Acc.
1.0,Astonish,Ghost,,30,100
1.0,Bite,Dark,,60,100
1.0,Crunch,Dark,,80,100
1.0,Echoed Voice,Normal,,40,100
1.0,Fire Fang,Fire,,65,95
1.0,Howl,Normal,,—,—
1.0,Ice Fang,Ice,,65,95
1.0,Pound,Normal,,40,100
1.0,Thunder Fang,Electric,,65,95
15.0,Rest,Psychic,,—,—
15.0,Sleep Talk,Normal,,—,—
23.0,Stomp,Normal,,65,100
29.0,Roar,Normal,,—,—
36.0,Supersonic,Normal,,—,55
45.0,Uproar,Normal,,90,100
54.0,Screech,Normal,,—,85
63.0,Hyper Voice,Normal,,90,100
72.0,Boomburst,Normal,,140,100
81.0,Hyper Beam,Normal,,150,90
