Lv.,Move,Type,Cat.,Power,Acc.
1.0,Agility,Psychic,,—,—
1.0,Leer,Normal,,—,100
1.0,Rage,Normal,,20,100
1.0,Scratch,Normal,,40,100
1.0,Water Gun,Water,,40,100
6.0,Water Gun,Water,,40,100
8.0,Rage,Normal,,20,100
13.0,Bite,Dark,,60,100
15.0,Scary Face,Normal,,—,100
21.0,Ice Fang,Ice,,65,95
24.0,Flail,Normal,,—,100
32.0,Crunch,Dark,,80,100
37.0,Chip Away,Normal,,70,100
45.0,Slash,Normal,,70,100
50.0,Screech,Normal,,—,85
58.0,Thrash,Normal,,120,100
63.0,Aqua Tail,Water,,90,90
71.0,Superpower,Fighting,,120,100
76.0,Hydro Pump,Water,,110,80
