Lv.,Move,Type,Cat.,Power,Acc.
1.0,Growl,Normal,,—,100
1.0,Tackle,Normal,,40,100
1.0,Thunder Shock,Electric,,40,100
1.0,Thunder Wave,Electric,,—,90
4.0,Thunder Wave,Electric,,—,90
8.0,Thunder Shock,Electric,,40,100
11.0,Cotton Spore,Grass,,—,100
16.0,Charge,Electric,,—,—
20.0,Take Down,Normal,,90,85
25.0,Electro Ball,Electric,,—,100
29.0,Confuse Ray,Ghost,,—,100
34.0,Power Gem,Rock,,80,100
38.0,Discharge,Electric,,80,100
43.0,Cotton Guard,Grass,,—,—
47.0,Signal Beam,Bug,,75,100
52.0,Light Screen,Psychic,,—,—
56.0,Thunder,Electric,,110,70
