Lv.,Move,Type,Cat.,Power,Acc.
1.0,Crunch,Dark,,80,100
1.0,Growl,Normal,,—,100
1.0,Ice Fang,Ice,,65,95
1.0,Quick Attack,Normal,,40,100
1.0,Sonic Boom,Normal,,—,90
1.0,Water Sport,Water,,—,—
4.0,Growl,Normal,,—,100
7.0,Water Sport,Water,,—,—
11.0,Quick Attack,Normal,,40,100
15.0,Water Gun,Water,,40,100
18.0,Pursuit,Dark,,40,100
21.0,Swift,Normal,,60,∞
24.0,Aqua Jet,Water,,40,100
29.0,Double Hit,Normal,,35,90
35.0,Whirlpool,Water,,35,85
41.0,Razor Wind,Normal,,80,100
46.0,Aqua Tail,Water,,90,90
51.0,Agility,Psychic,,—,—
57.0,Hydro Pump,Water,,110,80
