Lv.,Move,Type,Cat.,Power,Acc.
1.0,Autotomize,Steel,,—,—
1.0,Bug Bite,Bug,,60,100
1.0,Heavy Slam,Steel,,—,100
1.0,Magnet Rise,Electric,,—,—
1.0,Mirror Shot,Steel,,65,85
1.0,Protect,Normal,,—,—
1.0,Self-Destruct,Normal,,200,100
1.0,Tackle,Normal,,40,100
1.0,Toxic Spikes,Poison,,—,—
1.0,Zap Cannon,Electric,,120,50
6.0,Self-Destruct,Normal,,200,100
9.0,Bug Bite,Bug,,60,100
12.0,Take Down,Normal,,90,85
17.0,Rapid Spin,Normal,,50,100
20.0,Bide,Normal,,—,—
23.0,Natural Gift,Normal,,—,100
28.0,Spikes,Ground,,—,—
32.0,Payback,Dark,,50,100
36.0,Explosion,Normal,,250,100
42.0,Iron Defense,Steel,,—,—
46.0,Gyro Ball,Steel,,—,100
50.0,Double-Edge,Normal,,120,100
56.0,Magnet Rise,Electric,,—,—
60.0,Zap Cannon,Electric,,120,50
64.0,Heavy Slam,Steel,,—,100
