Lv.,Move,Type,Cat.,Power,Acc.
1.0,Agility,Psychic,,—,—
1.0,Coil,Poison,,—,—
1.0,Defense Curl,Normal,,—,—
1.0,Foresight,Normal,,—,—
1.0,Quick Attack,Normal,,40,100
1.0,Scratch,Normal,,40,100
4.0,Defense Curl,Normal,,—,—
7.0,Quick Attack,Normal,,40,100
13.0,Fury Swipes,Normal,,18,80
17.0,Helping Hand,Normal,,—,—
21.0,Follow Me,Normal,,—,—
28.0,Slam,Normal,,80,75
32.0,Rest,Psychic,,—,—
36.0,Sucker Punch,Dark,,70,100
42.0,Amnesia,Psychic,,—,—
46.0,Baton Pass,Normal,,—,—
50.0,Me First,Normal,,—,—
56.0,Hyper Voice,Normal,,90,100
