Lv.,Move,Type,Cat.,Power,Acc.
1.0,Charm,Fairy,,—,100
1.0,Confusion,Psychic,,50,100
1.0,Dazzling Gleam,Fairy,,80,100
1.0,Disarming Voice,Fairy,,40,∞
1.0,Double Team,Normal,,—,—
1.0,Growl,Normal,,—,100
1.0,Healing Wish,Psychic,,—,—
1.0,Misty Terrain,Fairy,,—,—
1.0,Moonblast,Fairy,,95,100
9.0,Hypnosis,Psychic,,—,60
12.0,Draining Kiss,Fairy,,50,100
15.0,Teleport,Psychic,,—,—
18.0,Psybeam,Psychic,,65,100
23.0,Life Dew,Water,,—,—
28.0,Wish,Normal,,—,—
35.0,Calm Mind,Psychic,,—,—
42.0,Psychic,Psychic,,90,100
49.0,Heal Pulse,Psychic,,—,—
56.0,Dream Eater,Psychic,,100,100
63.0,Future Sight,Psychic,,120,100
