Lv.,Move,Type,Cat.,Power,Acc.
1.0,Fell Stinger,Bug,,50,100
1.0,Magnet Rise,Electric,,—,—
1.0,Metal Claw,Steel,,50,95
1.0,Quick Attack,Normal,,40,100
1.0,Screech,Normal,,—,85
1.0,Techno Blast,Normal,,120,100
7.0,Fury Cutter,Bug,,40,95
11.0,Lock-On,Normal,,—,—
18.0,Flame Charge,Fire,,50,100
22.0,Magnet Bomb,Steel,,60,∞
29.0,Slash,Normal,,70,100
33.0,Metal Sound,Steel,,—,85
40.0,Signal Beam,Bug,,75,100
44.0,Tri Attack,Normal,,80,100
51.0,X-Scissor,Bug,,80,100
55.0,Bug Buzz,Bug,,90,100
62.0,Simple Beam,Normal,,—,100
66.0,Zap Cannon,Electric,,120,50
73.0,Hyper Beam,Normal,,150,90
77.0,Self-Destruct,Normal,,200,100
