Lv.,Move,Type,Cat.,Power,Acc.
1.0,Astonish,Ghost,,30,100
1.0,Confusion,Psychic,,50,100
1.0,Growl,Normal,,—,100
1.0,Guard Swap,Psychic,,—,—
1.0,Power Swap,Psychic,,—,—
1.0,Tackle,Normal,,40,100
5.0,Odor Sleuth,Normal,,—,—
10.0,Assurance,Dark,,60,100
14.0,Stomp,Normal,,65,100
19.0,Psybeam,Psychic,,65,100
23.0,Agility,Psychic,,—,—
28.0,Double Hit,Normal,,35,90
32.0,Zen Headbutt,Psychic,,80,90
37.0,Crunch,Dark,,80,100
41.0,Baton Pass,Normal,,—,—
46.0,Nasty Plot,Dark,,—,—
50.0,Psychic,Psychic,,90,100
