Lv.,Move,Type,Cat.,Power,Acc.
1.0,Baton Pass,Normal,,—,—
1.0,Charm,Fairy,,—,100
1.0,Copycat,Normal,,—,—
1.0,Covet,Normal,,60,100
1.0,Double-Edge,Normal,,120,100
1.0,Growl,Normal,,—,100
1.0,Helping Hand,Normal,,—,—
1.0,Icy Wind,Ice,,55,95
1.0,Swift,Normal,,60,∞
1.0,Tackle,Normal,,40,100
1.0,Tail Whip,Normal,,—,100
1.0,Take Down,Normal,,90,85
5.0,Sand Attack,Ground,,—,100
10.0,Quick Attack,Normal,,40,100
15.0,Baby-Doll Eyes,Fairy,,—,100
20.0,Ice Shard,Ice,,40,100
25.0,Bite,Dark,,60,100
30.0,Ice Fang,Ice,,65,95
35.0,Hail,Ice,,—,—
40.0,Freeze-Dry,Ice,,70,100
45.0,Mirror Coat,Psychic,,—,100
50.0,Blizzard,Ice,,110,70
55.0,Last Resort,Normal,,140,100
