Lv.,Move,Type,Cat.,Power,Acc.
1.0,Fire Fang,Fire,,65,95
1.0,Guillotine,Normal,,—,30
1.0,Harden,Normal,,—,—
1.0,Ice Fang,Ice,,65,95
1.0,Knock Off,Dark,,65,100
1.0,Poison Jab,Poison,,80,100
1.0,Sand Attack,Ground,,—,100
1.0,Thunder Fang,Electric,,65,95
4.0,Sand Attack,Ground,,—,100
7.0,Harden,Normal,,—,—
10.0,Knock Off,Dark,,65,100
13.0,Quick Attack,Normal,,40,100
16.0,Fury Cutter,Bug,,40,95
19.0,Feint Attack,Dark,,60,∞
22.0,Acrobatics,Flying,,55,100
27.0,Night Slash,Dark,,70,100
30.0,U-turn,Bug,,70,100
35.0,Screech,Normal,,—,85
40.0,X-Scissor,Bug,,80,100
45.0,Sky Uppercut,Fighting,,85,90
50.0,Swords Dance,Normal,,—,—
55.0,Guillotine,Normal,,—,30
