Lv.,Move,Type,Cat.,Power,Acc.
1.0,Bite,Dark,,60,100
1.0,Flail,Normal,,—,100
1.0,Leer,Normal,,—,100
1.0,Splash,Normal,,—,—
1.0,Tackle,Normal,,40,100
1.0,Twister,Dragon,,40,100
4.0,Whirlpool,Water,,35,85
8.0,Ice Fang,Ice,,65,95
12.0,Brine,Water,,65,100
16.0,Scary Face,Normal,,—,100
21.0,Waterfall,Water,,80,100
24.0,Crunch,Dark,,80,100
28.0,Rain Dance,Water,,—,—
32.0,Aqua Tail,Water,,90,90
36.0,Dragon Dance,Dragon,,—,—
40.0,Hydro Pump,Water,,110,80
44.0,Hurricane,Flying,,110,70
48.0,Thrash,Normal,,120,100
52.0,Hyper Beam,Normal,,150,90
