Lv.,Move,Type,Cat.,Power,Acc.
1.0,Arm Thrust,Fighting,,15,100
1.0,Brine,Water,,65,100
1.0,Focus Energy,Normal,,—,—
1.0,Sand Attack,Ground,,—,100
1.0,Tackle,Normal,,40,100
4.0,Sand Attack,Ground,,—,100
7.0,Arm Thrust,Fighting,,15,100
10.0,Fake Out,Normal,,40,100
13.0,Force Palm,Fighting,,60,100
16.0,Whirlwind,Normal,,—,—
19.0,Knock Off,Dark,,65,100
22.0,Vital Throw,Fighting,,70,∞
26.0,Belly Drum,Normal,,—,—
30.0,Smelling Salts,Normal,,70,100
34.0,Seismic Toss,Fighting,,—,100
38.0,Wake-Up Slap,Fighting,,70,100
42.0,Endure,Normal,,—,—
46.0,Close Combat,Fighting,,120,100
50.0,Reversal,Fighting,,—,100
54.0,Heavy Slam,Steel,,—,100
