Lv.,Move,Type,Cat.,Power,Acc.
1.0,Ancient Power,Rock,,60,100.0
1.0,Earth Power,Ground,,90,100.0
1.0,Fire Spin,Fire,,35,85.0
1.0,Heat Wave,Fire,,95,90.0
1.0,Iron Head,Steel,,80,100.0
1.0,Magma Storm,Fire,,100,75.0
9.0,Leer,Normal,,—,100.0
17.0,Fire Fang,Fire,,65,95.0
25.0,Metal Sound,Steel,,—,85.0
33.0,Crunch,Dark,,80,100.0
41.0,Scary Face,Normal,,—,100.0
49.0,Lava Plume,Fire,,80,100.0
57.0,Fire Spin,Fire,,35,85.0
65.0,Iron Head,Steel,,80,100.0
73.0,Earth Power,Ground,,90,100.0
81.0,Heat Wave,Fire,,95,90.0
88.0,Stone Edge,Rock,,100,80.0
96.0,Magma Storm,Fire,,100,75.0
