Lv.,Move,Type,Cat.,Power,Acc.
1.0,Brick Break,Fighting,,75,100
1.0,Fake Out,Normal,,40,100
1.0,Feint,Normal,,30,100
1.0,Focus Energy,Normal,,—,—
1.0,Helping Hand,Normal,,—,—
1.0,Low Sweep,Fighting,,65,100
1.0,Tackle,Normal,,40,100
4.0,Double Kick,Fighting,,30,100
8.0,Low Kick,Fighting,,—,100
12.0,Endure,Normal,,—,—
16.0,Revenge,Fighting,,60,100
21.0,Wide Guard,Rock,,—,—
24.0,Blaze Kick,Fire,,85,90
28.0,Mind Reader,Normal,,—,—
32.0,Mega Kick,Normal,,120,75
36.0,Close Combat,Fighting,,120,100
40.0,Reversal,Fighting,,—,100
44.0,High Jump Kick,Fighting,,130,90
