Lv.,Move,Type,Cat.,Power,Acc.
1.0,Ember,Fire,,40,100
1.0,Howl,Normal,,—,—
1.0,Inferno,Fire,,100,50
1.0,Leer,Normal,,—,100
1.0,Nasty Plot,Dark,,—,—
1.0,Smog,Poison,,30,70
1.0,Thunder Fang,Electric,,65,95
4.0,Howl,Normal,,—,—
8.0,Smog,Poison,,30,70
13.0,Roar,Normal,,—,—
16.0,Bite,Dark,,60,100
20.0,Odor Sleuth,Normal,,—,—
26.0,Beat Up,Dark,,—,100
30.0,Fire Fang,Fire,,65,95
35.0,Feint Attack,Dark,,60,∞
41.0,Embargo,Dark,,—,100
45.0,Foul Play,Dark,,95,100
50.0,Flamethrower,Fire,,90,100
56.0,Crunch,Dark,,80,100
60.0,Nasty Plot,Dark,,—,—
65.0,Inferno,Fire,,100,50
