Lv.,Move,Type,Cat.,Power,Acc.
1.0,Charm,Fairy,,—,100
1.0,Copycat,Normal,,—,—
1.0,Defense Curl,Normal,,—,—
1.0,Disable,Normal,,—,100
1.0,Disarming Voice,Fairy,,40,∞
1.0,Pound,Normal,,40,100
1.0,Sing,Normal,,—,55
1.0,Sweet Kiss,Fairy,,—,75
4.0,Echoed Voice,Normal,,40,100
8.0,Covet,Normal,,60,100
12.0,Spit Up,Normal,,—,100
12.0,Stockpile,Normal,,—,—
12.0,Swallow,Normal,,—,—
16.0,Round,Normal,,60,100
20.0,Rest,Psychic,,—,—
24.0,Body Slam,Normal,,85,100
28.0,Mimic,Normal,,—,—
32.0,Gyro Ball,Steel,,—,100
36.0,Hyper Voice,Normal,,90,100
40.0,Play Rough,Fairy,,90,90
44.0,Double-Edge,Normal,,120,100
