Lv.,Move,Type,Cat.,Power,Acc.
1.0,Block,Normal,,—,—
1.0,Fissure,Ground,,—,30
1.0,Hammer Arm,Fighting,,100,90
1.0,Imprison,Psychic,,—,—
1.0,Mud Shot,Ground,,55,95
1.0,Outrage,Dragon,,120,100
1.0,Rock Tomb,Rock,,60,95
7.0,Punishment,Dark,,—,100
13.0,Bulldoze,Ground,,60,100
19.0,Rock Throw,Rock,,50,90
25.0,Extrasensory,Psychic,,80,100
31.0,Swords Dance,Normal,,—,—
37.0,Earth Power,Ground,,90,100
43.0,Rock Slide,Rock,,75,90
49.0,Earthquake,Ground,,100,100
55.0,Sandstorm,Rock,,—,—
61.0,Fissure,Ground,,—,30
67.0,Stone Edge,Rock,,100,80
73.0,Hammer Arm,Fighting,,100,90
79.0,Outrage,Dragon,,120,100
