Lv.,Move,Type,Cat.,Power,Acc.
1.0,Eerie Impulse,Electric,,—,100
1.0,Electro Ball,Electric,,—,100
1.0,Spit Up,Normal,,—,100
1.0,Stockpile,Normal,,—,—
1.0,Supersonic,Normal,,—,55
1.0,Swallow,Normal,,—,—
1.0,Thunder Wave,Electric,,—,90
1.0,Water Gun,Water,,40,100
12.0,Bubble Beam,Water,,65,100
16.0,Confuse Ray,Ghost,,—,100
20.0,Spark,Electric,,65,100
24.0,Charge,Electric,,—,—
30.0,Discharge,Electric,,80,100
36.0,Aqua Ring,Water,,—,—
42.0,Flail,Normal,,—,100
48.0,Take Down,Normal,,90,85
54.0,Hydro Pump,Water,,110,80
