Lv.,Move,Type,Cat.,Power,Acc.
1.0,Healing Wish,Psychic,,—,—
1.0,Helping Hand,Normal,,—,—
1.0,Psywave,Psychic,,—,100
1.0,Safeguard,Normal,,—,—
1.0,Wish,Normal,,—,—
4.0,Water Sport,Water,,—,—
7.0,Charm,Fairy,,—,100
10.0,Stored Power,Psychic,,20,100
13.0,Refresh,Normal,,—,—
16.0,Heal Pulse,Psychic,,—,—
20.0,Dragon Breath,Dragon,,60,100
24.0,Mist Ball,Psychic,,70,100
28.0,Psycho Shift,Psychic,,—,100
32.0,Recover,Normal,,—,—
36.0,Reflect Type,Normal,,—,—
41.0,Zen Headbutt,Psychic,,80,90
46.0,Guard Split,Psychic,,—,—
51.0,Psychic,Psychic,,90,100
56.0,Dragon Pulse,Dragon,,85,100
61.0,Healing Wish,Psychic,,—,—
