Lv.,Move,Type,Cat.,Power,Acc.
1.0,Absorb,Grass,,20,100
1.0,After You,Normal,,—,—
1.0,Aromatherapy,Grass,,—,—
1.0,Energy Ball,Grass,,90,100
1.0,Entrainment,Normal,,—,100
1.0,Giga Drain,Grass,,75,100
1.0,Growth,Normal,,—,—
1.0,Helping Hand,Normal,,—,—
1.0,Leaf Storm,Grass,,130,90
1.0,Leech Seed,Grass,,—,90
1.0,Magical Leaf,Grass,,60,∞
1.0,Mega Drain,Grass,,40,100
1.0,Petal Blizzard,Grass,,90,100
1.0,Petal Dance,Grass,,120,100
1.0,Quiver Dance,Bug,,—,—
1.0,Sleep Powder,Grass,,—,75
1.0,Stun Spore,Grass,,—,75
1.0,Sunny Day,Fire,,—,—
1.0,Synthesis,Grass,,—,—
1.0,Teeter Dance,Normal,,—,100
