Lv.,Move,Type,Cat.,Power,Acc.
1.0,Baby-Doll Eyes,Fairy,,—,100
1.0,Growl,Normal,,—,100
1.0,Pin Missile,Bug,,25,95
1.0,Sand Attack,Ground,,—,100
1.0,Slash,Normal,,70,100
1.0,Switcheroo,Dark,,—,100
1.0,Tackle,Normal,,40,100
1.0,Tail Whip,Normal,,—,100
9.0,Covet,Normal,,60,100
12.0,Headbutt,Normal,,70,100
15.0,Hone Claws,Dark,,—,—
18.0,Fury Swipes,Normal,,18,80
23.0,Rest,Psychic,,—,—
28.0,Take Down,Normal,,90,85
33.0,Fling,Dark,,—,100
38.0,Flail,Normal,,—,100
43.0,Belly Drum,Normal,,—,—
48.0,Double-Edge,Normal,,120,100
