Lv.,Move,Type,Cat.,Power,Acc.
1.0,Aura Sphere,Fighting,,80,∞
1.0,Copycat,Normal,,—,—
1.0,Detect,Fighting,,—,—
1.0,Feint,Normal,,30,100
1.0,Final Gambit,Fighting,,—,100
1.0,Force Palm,Fighting,,60,100
1.0,Helping Hand,Normal,,—,—
1.0,Life Dew,Water,,—,—
1.0,Metal Claw,Steel,,50,95
1.0,Nasty Plot,Dark,,—,—
1.0,Quick Attack,Normal,,40,100
1.0,Reversal,Fighting,,—,100
1.0,Rock Smash,Fighting,,40,100
1.0,Screech,Normal,,—,85
1.0,Work Up,Normal,,—,—
12.0,Counter,Fighting,,—,100
16.0,Laser Focus,Normal,,—,—
20.0,Power-Up Punch,Fighting,,40,100
24.0,Calm Mind,Psychic,,—,—
28.0,Metal Sound,Steel,,—,85
32.0,Quick Guard,Fighting,,—,—
36.0,Bone Rush,Ground,,25,90
40.0,Swords Dance,Normal,,—,—
44.0,Heal Pulse,Psychic,,—,—
48.0,Meteor Mash,Steel,,90,90
52.0,Dragon Pulse,Dragon,,85,100
56.0,Extreme Speed,Normal,,80,100
60.0,Close Combat,Fighting,,120,100
