Lv.,Move,Type,Cat.,Power,Acc.
1.0,Weather Ball,Normal,,50,100
1.0,Whirlwind,Normal,,—,—
9.0,Gust,Flying,,40,100
15.0,Dragon Rush,Dragon,,100,75
23.0,Extrasensory,Psychic,,80,100
29.0,Rain Dance,Water,,—,—
37.0,Hydro Pump,Water,,110,80
43.0,Aeroblast,Flying,,100,95
50.0,Punishment,Dark,,—,100
57.0,Ancient Power,Rock,,60,100
65.0,Safeguard,Normal,,—,—
71.0,Recover,Normal,,—,—
79.0,Future Sight,Psychic,,120,100
85.0,Natural Gift,Normal,,—,100
93.0,Calm Mind,Psychic,,—,—
99.0,Sky Attack,Flying,,140,90
