Lv.,Move,Type,Cat.,Power,Acc.
1.0,Charm,Fairy,,—,100
1.0,Tackle,Normal,,40,100
4.0,Water Gun,Water,,40,100
7.0,Agility,Psychic,,—,—
9.0,Draining Kiss,Fairy,,50,100
13.0,Lucky Chant,Normal,,—,—
17.0,Water Pulse,Water,,60,100
20.0,Attract,Normal,,—,100
22.0,Heart Stamp,Psychic,,60,100
26.0,Flail,Normal,,—,100
31.0,Sweet Kiss,Fairy,,—,75
34.0,Take Down,Normal,,90,85
37.0,Captivate,Normal,,—,100
40.0,Aqua Ring,Water,,—,—
42.0,Soak,Water,,—,100
46.0,Hydro Pump,Water,,110,80
49.0,Safeguard,Normal,,—,—
