Lv.,Move,Type,Cat.,Power,Acc.
1.0,Focus Energy,Normal,,—,—
1.0,Leer,Normal,,—,100
1.0,Low Kick,Fighting,,—,100
1.0,Revenge,Fighting,,60,100
1.0,Wide Guard,Rock,,—,—
12.0,Low Sweep,Fighting,,65,100
16.0,Knock Off,Dark,,65,100
20.0,Scary Face,Normal,,—,100
24.0,Vital Throw,Fighting,,70,∞
31.0,Strength,Normal,,80,100
36.0,Dual Chop,Dragon,,40,90
42.0,Bulk Up,Fighting,,—,—
48.0,Seismic Toss,Fighting,,—,100
54.0,Dynamic Punch,Fighting,,100,50
60.0,Cross Chop,Fighting,,100,80
66.0,Double-Edge,Normal,,120,100
