Lv.,Move,Type,Cat.,Power,Acc.
1.0,Earth Power,Ground,,90,100
1.0,Ember,Fire,,40,100
1.0,Rock Throw,Rock,,50,90
1.0,Shell Smash,Normal,,—,—
1.0,Smog,Poison,,30,70
1.0,Yawn,Normal,,—,—
6.0,Ember,Fire,,40,100
8.0,Rock Throw,Rock,,50,90
13.0,Harden,Normal,,—,—
15.0,Incinerate,Fire,,60,100
20.0,Clear Smog,Poison,,50,—
22.0,Ancient Power,Rock,,60,100
27.0,Flame Burst,Fire,,70,100
29.0,Rock Slide,Rock,,75,90
34.0,Lava Plume,Fire,,80,100
36.0,Amnesia,Psychic,,—,—
43.0,Body Slam,Normal,,85,100
47.0,Recover,Normal,,—,—
54.0,Flamethrower,Fire,,90,100
58.0,Earth Power,Ground,,90,100
