Lv.,Move,Type,Cat.,Power,Acc.
1.0,Ember,Fire,,40,100
1.0,Leer,Normal,,—,100
1.0,Smog,Poison,,30,70
1.0,Smokescreen,Normal,,—,100
1.0,Thunder Punch,Electric,,75,100
5.0,Ember,Fire,,40,100
8.0,Smokescreen,Normal,,—,100
12.0,Feint Attack,Dark,,60,∞
15.0,Fire Spin,Fire,,35,85
19.0,Clear Smog,Poison,,50,—
22.0,Flame Burst,Fire,,70,100
26.0,Confuse Ray,Ghost,,—,100
29.0,Fire Punch,Fire,,75,100
36.0,Lava Plume,Fire,,80,100
42.0,Sunny Day,Fire,,—,—
49.0,Flamethrower,Fire,,90,100
55.0,Fire Blast,Fire,,110,85
62.0,Hyper Beam,Normal,,150,90
