Lv.,Move,Type,Cat.,Power,Acc.
1.0,Electric Terrain,Electric,,—,—
1.0,Magnetic Flux,Electric,,—,—
1.0,Mirror Coat,Psychic,,—,100
1.0,Supersonic,Normal,,—,55
1.0,Tackle,Normal,,40,100
1.0,Thunder Shock,Electric,,40,100
1.0,Thunder Wave,Electric,,—,90
1.0,Tri Attack,Normal,,80,100
12.0,Electro Ball,Electric,,—,100
16.0,Gyro Ball,Steel,,—,100
20.0,Spark,Electric,,65,100
24.0,Screech,Normal,,—,85
28.0,Magnet Rise,Electric,,—,—
34.0,Flash Cannon,Steel,,80,100
40.0,Discharge,Electric,,80,100
46.0,Metal Sound,Steel,,—,85
52.0,Light Screen,Psychic,,—,—
58.0,Lock-On,Normal,,—,—
64.0,Zap Cannon,Electric,,120,50
